STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
2025-01-01 : 18
2025-01-02 : 206
2025-01-03 : 2
2025-01-04 : 101
2025-01-05 : 19
2025-01-06 : 85
2025-01-07 : 96
2025-01-08 : 234
2025-01-09 : 38
2025-01-10 : 29
2025-01-11 : 117
2025-01-12 : 109
2025-01-13 : 34
2025-01-14 : 58
2025-01-15 : 133
2025-01-16 : 78
2025-01-17 : 14
2025-01-18 : 22
2025-01-19 : 265
2025-01-20 : 23
2025-01-21 : 85
2025-01-22 : 29
2025-01-23 : 12
2025-01-24 : 3
2025-01-25 : 20
2025-01-26 : 28
2025-01-27 : 3
2025-01-28 : 6
2025-01-29 : 28
2025-01-30 : 57
2025-01-31 : 13
2025-02-01 : 28
2025-02-02 : 163
2025-02-03 : 38
2025-02-04 : 162
2025-02-05 : 276
2025-02-06 : 50
2025-02-07 : 89
2025-02-08 : 24
2025-02-09 : 14
2025-02-10 : 61
2025-02-11 : 50
2025-02-12 : 95
2025-02-13 : 11
2025-02-14 : 57
2025-02-15 : 8
2025-02-16 : 9
2025-02-17 : 4
2025-02-18 : 23
2025-02-19 : 39
2025-02-20 : 15
2025-02-21 : 28
2025-02-22 : 56
2025-02-23 : 40
2025-02-24 : 47
2025-02-25 : 22
2025-02-26 : 11
2025-02-27 : 17
2025-02-28 : 14
2025-03-01 : 28
2025-03-02 : 7
2025-03-03 : 16
2025-03-04 : 6
2025-03-05 : 6
2025-03-06 : 27
2025-03-07 : 28
2025-03-08 : 65
2025-03-09 : 69
2025-03-10 : 26
2025-03-11 : 31
2025-03-12 : 51
2025-03-13 : 11
2025-03-14 : 27
2025-03-15 : 55
2025-03-16 : 109
2025-03-17 : 15
2025-03-18 : 13
2025-03-19 : 29
2025-03-20 : 18
2025-03-21 : 47
2025-03-22 : 121
2025-03-23 : 22
2025-03-24 : 21
2025-03-25 : 38
2025-03-26 : 138
2025-03-27 : 8
2025-03-28 : 39
2025-03-29 : 26
2025-03-30 : 55
2025-03-31 : 41
2025-04-01 : 36
2025-04-02 : 106
2025-04-03 : 15
2025-04-04 : 18
2025-04-05 : 90
2025-04-06 : 282
2025-04-07 : 131
2025-04-08 : 61
2025-04-09 : 24
2025-04-10 : 73
2025-04-11 : 131
2025-04-12 : 944
2025-04-13 : 409
